,Abusive Words
0,ටෞකනවා
1,තෝ
2,ගෑනියෙක්
3,බිජ්ජට
4,හරකා
5,මී
6,හරකා
7,ගොන්
8,ජෝක්
9,පු
10,පලාගන්න
11,පරට්ටි
12,උඹේ
13,ගොන්
14,පකෝ
15,බැල්ලි
16,ගුද
17,මාර්ගෙනම්
18,පලනවා
19,පයිය
20,පොන්න
21,නායකයෝ
22,අන්තවාදී
23,බල්ලොන්ට
24,පුක
25,පකෝ
26,නොදකින්
27,අමු
28,ගොබ්බයි
29,අන්තවාදීන්ට
30,නරින්ගේ
31,පලයං
32,පකෝ
33,තොපි
34,රෙද්දක්ද
35,පාහරයිද
36,නොදකින්
37,පොන්න
38,පකෙක්
39,මීහරකා
40,බිජ්ජ
41,හුජ්ජ
42,කැත
43,ඌකාපන්
44,බැල්ලි
45,නාකි
46,හෙන
47,චාටර්
48,තෝ
49,පපයා
50,කාලකණ්ණි
51,මෝඩයා
52,මෝඩ
53,මොංගල්
54,පර
55,සක්කිලි
56,හැත්ත
57,තොපිට
58,පලයන්
59,හරකා
60,ගොන්නු
61,පුක
62,හුජ්ජ
63,කාලකන්නියෙක්
64,මු
65,කුප්පි
66,රෙද්ද
67,කාලකන්නි
68,සක්කිලි
69,වේස
70,බල්ලො
71,සුනඛයෙක්
72,සක්කිලි
73,බල්ලො
74,පයිය
75,සිකේ
76,උඹේ
77,උඹ
78,ගොන්
79,වේසි
80,වේසි
81,හුකන්නෝ
82,පුක
83,දීගෙන
84,හැමිනෙන්නේ
85,තොපේ
86,අම්මගේ
87,රෙද්ද
88,ගොන්
89,පකයො
90,පයියට
91,පයිය
92,තො
93,කාලකන්නි
94,කාලකන්නියා
95,සක්කිලි
96,පකෝමේ
97,තොපිට
98,තෝ
99,ජංගියේ
100,චූ
101,හුජ්ජ
102,පොන්නයද
103,පුකේ
104,පයිය
105,ගොන්ද
106,නොදකින්
107,තෝපි
108,බිජ්ජ
109,ලගින්ම
110,සාප
111,මරි
112,මෝඩ
113,තොපිව
114,කනෙන්
115,අැදලා
116,තොපේ
117,ගැනු
118,ට
119,ලබ්බ
120,පිස්සා
121,කාලකණ්ණි
122,හැත්තට
123,කාලකණ්ණි
124,හෙන
125,ගොනා
126,කාලකණ්ණි
127,ගොන්
128,පක්කු
129,හුත්ත
130,වේසි
131,බැල්ලි
132,හිවල්
133,සුනඛයෝ
134,අවජාතක
135,වල්
136,බල්ලෝ
137,තොපි
138,සක්කිලි
139,තූ
140,නොදකින්
141,කාලකණ්නියා
142,සක්කිලි
143,ලබ්බ
144,තප්පුලන්න
145,සක්කිලි
146,වැඩ
147,හුජ්ජ
148,තමුසෙ
149,තමුසෙ
150,තෝ
151,නාකිම
152,පකෝ
153,වේස
154,හුජ්ජ
155,පකෝ
156,සක්කිලි
157,නොදකින්
158,වේසි
159,වේසි
160,හැමිනෙනවා
161,කාලකන්නි
162,පිස්සු
163,හුත්තිගේ
164,අවලම්
165,හැත්ත
166,හෙන
167,චරිත
168,නොදකින්
169,වේස
170,හැත්ත
171,හමන්නලා
172,හිගාකන
173,වේසිගෙ
174,පුතාලා
175,පුක
176,දෙන
177,ජංගි
178,අඳින
179,තෝ
180,ගල්
181,රෙද්ද
182,ගොං
183,හැත්තක්
184,පර
185,වේසි
186,ටොයියන්ට
187,අවජාතක
188,බල්ලා
189,තොට
190,පුකේ
191,අමු
192,ගූ
193,කටු
194,හුත්තකටද
195,යකෝ
196,හුත්ත
197,තොට
198,හුකනාතල්
199,තෝ
200,ඇනපිය
201,ඇනපිය
202,අයින්න
203,මැරෙන්න
204,පකයෙක්
205,පර
206,සක්කිලි
207,කැරි
208,පොන්න
209,වේසිගෙ
210,පුතෙක්
211,පට්ට
212,බැල්ලි
213,තොට
214,පුකයි
215,පොන්න
216,වේසිගෙ
217,තොපි
218,පතායා
219,බඩුව
220,යකෝ
221,පුක
222,මැරියන්
223,හුත්තිගේ
224,කැරියා
225,තොපි
226,නූගත්
227,හැත්තගේ
228,අවජාතක
229,තොගෙන්
230,තොගෙ
231,වේසි
232,කැරි
233,රාක්ෂ
234,ගෑණි
235,ටහුකන
236,අවජාතක
237,නපුංසකයො
238,නැට්ටුක්කාර
239,වේසි
240,බිජ්ජ
241,බිජ්ජ
242,ඌගේ
243,ගැණි
244,නොදකින්
245,පුක
246,පොන්න
247,වසලයෙක්
248,බිජ්ජ
249,බබ්බුද
250,හුක
251,හුක
252,මොඩ
253,මුසලයෙක්
254,ගොන්
255,අලියෙක්
256,හිවලෙක්
257,හරක්
258,පඩත්තල
259,සක්කිලි
260,ඊයා
261,කක්කි
262,පාහරයෙක්
263,කාලකණ්ණි
264,නාකි
265,හැමිනෙන
266,පකිස්
267,බූරුවො
268,යකෝ
269,මුසලයා
270,ලබ්බ
271,කිම්බ
272,ඇට
273,තම්
274,ගොන්
275,පක්කු
276,හැත්ත
277,හුත්තේ
278,පුක
279,තොපි
280,අවජාතක
281,තූ
282,පොන්න
283,මෝඩ
284,සක්කිලි
285,නොදකින්
286,හැතිකරයක්
287,පිස්සා
288,පට්ට
289,බැල්ලියෝ
290,පොරගේ
291,පයිය
292,පයිය
293,තොගෙ
294,තොට
295,ගෝත
296,පක
297,තොපෙ
298,පුක
299,තෝ
300,පලකො
301,වඳ
302,වේසිගේ
303,පුතෝ
304,බූරුවා
305,පුක
306,මෝඩ
307,මූසලයෙක්
308,බැල්ලි
309,බැල්ලි
310,තෝ
311,පල
312,හැත්තක්
313,ගොන්
314,වාහේ
315,පුක
316,වේසිගෙ
317,පුතාලට
318,පකෝ
319,පොන්නය
320,හැත්ත
321,අම්ම
322,වේසිගෙපුතා
323,කැරි
324,පොන්න
325,හුකන්නල
326,හුකවන්න
327,හුකෝනව
328,පකෙක්
329,හුත්තිගෙ
330,හැත්ත
331,රෙද්ද
332,පකෝ
333,පච
334,ටහුඩු
335,කුනුහබ්බ
336,මෙලෝ
337,රහක්
338,නැනේ
339,පල
340,තොපි
341,තොපි
342,බල්ලා
343,පොන්න
344,හුත්තල
345,පොන්නයොත්
346,පොන්නයො
347,කිම්බ
348,ටිංකිම්බොයි
349,හුත්ත
350,පයියවලුයි
351,පුක
352,නාකි
353,පට්ට
354,අවජාතකයකු
355,අමන
356,තෝ
357,මැරිලා
358,යකෝ
359,තොගෙ
360,බිජ්ජ
361,යකෝ
362,තොගෙ
363,බිජ්ජ
364,සක්කිලි
365,කාලකන්නි
366,හැත්ත
367,බැල්ලි
368,පක
369,හුත්ත
370,වේසියේ
371,තෝ
372,මළ
373,යකෝ
374,තොගෙ
375,පුක
376,උන්ගේ
377,රෙද්ද
378,අස්සේ
379,නොදකින්
380,පර
381,හැත්ත
382,පයිය
383,කල්ලතොනියෝ
384,තෝ
385,උඹ
386,හුකහන්
387,හුත්තෝ
388,වාගේ
389,හරකා
390,වාගේ
391,බිජ්ජ
392,පුක
393,දෙනවා
394,ගොන්
395,පක්කු
396,කාලකණ්ණි
397,නොදකින්
398,මෝඩයෝ
399,තෝ
400,හුජ්ජ
401,පොඩි
402,මුගේ
403,යකෝ
404,ගල්
405,බූතයො
406,කුජීත
407,වේසියොන්ට
408,වේසි
409,රෙද්දෙ
410,හුජ්ජ
411,වැලක්
412,තොපිලාට
413,සාප
414,වෙනවා
415,බොලව්
416,වේස
417,කැරියන්ව
418,හුත්තෝ
419,අවජාතක
420,හැත්ත
421,යකෝ
422,පරයෝ
423,තොපි
424,තොපේ
425,තෝව
426,පිම්පීයෝ
427,වේසකමේ
428,තෝ
429,හෙනකදයා
430,කිම්බ
431,හුජ්ජ
432,යකෝ
433,ලබ්බ
434,ගහන්නෙ
435,කනට
436,හුජ්ජ
437,උට්ටෝ
438,තොට
439,රිලා
440,ගැනිගේ
441,පුක
442,පකේ
443,පල
444,තෝ
445,හුකන්න
446,තෝ
447,නපුන්සකයා
448,තොගේ
449,උට්ටටක්
450,පයියක්
451,ටෝ
452,මැරියන්
453,මුසලයා
454,රෙද්ද
455,මූට
456,පිස්සු
457,වාචාල
458,මොඩ
459,ගොන්
460,බිජ්ජොන්ට
461,වේස
462,බඩුව
463,කාලකණ්නි
464,හැතිකරේට
465,හෙන
466,පකයෝ
467,පයිය
468,පිස්සු
469,තෝ
470,පලයන්
471,යකෝ
472,හරකා
473,මැරියන්
474,තෝ
475,පණුවො
476,දාලා
477,කුණු
478,වෙලා
479,මැරෙන්නේ
480,හුකාපන්
481,කුනු
482,හැත්ත
483,වල්
484,හිත
485,පයිය
486,පිස්සු
487,උන්මන්තක
488,තූ
489,නොදකින්
490,තමුසෙ
491,වනචරයෙක්
492,වේස
493,බල්ලනේ
494,තොපිට
495,ලබ්බවල්
496,හිගන
497,හැත්ත
498,පොන්න
499,ආතල්
500,අමනයො
501,මූට
502,පයිය
503,බල්ලවත්
504,මෝඩ
505,හැත්ත
506,පුක
507,ලබ්බ
508,හොරා
509,හුජ්ජ
510,බරක්
511,තොපි
512,අමු
513,සක්කිලි
514,මොංගල්ද
515,ඩාලින්
516,කරුමයක්
517,තෝ
518,චීත්තයක්
519,තොගේ
520,තෝ
521,පලල්
522,පයිය
523,කොටයි
524,පොන්න
525,අවජාතක
526,කොටියො
527,උඕෙ
528,සක්කිලි
529,ගොන්
530,ගොබ්බයෙක්
531,වල්
532,නොදකින්
533,තොපිට
534,පිස්සු
535,පිස්සු
536,කාලකණ්ණි
537,කුඩ්ඩොයි
538,පුක
539,කුහකයෝ
540,රීලා
541,හුත්තෝ
542,වල්
543,පරයා
544,පුකේ
545,පිරිමි
546,ගණිකාව
547,තවුසෙට
548,හෙන
549,ගහනව
550,පිස්සු
551,හුටන්ලා
552,තෝ
553,පරයො
554,ආච්චිට
555,හාල්
556,ගරන්න
557,නාකි
558,ගෑණු
559,ඉල්ලන්
560,කෑවා
561,යකූ
562,තඩි
563,බඩා
564,ජම්බෝලයා
565,හුජ්ජ
566,අලි
567,පයියක්
568,බඩුව
569,මූ
570,වේස
571,ගොන්
572,බයියෙක්ව
573,ගොං
574,හරකා
575,නොදකින්
576,කාලකණ්ණි
577,තොට
578,පලයන්
579,බන්
580,කිම්බ
581,පුකේ
582,කිම්බේ
583,ගු
584,හුත්ත
585,කිම්බ
586,බැල්ලි
587,බැල්ලි
588,පර
589,පකයා
590,පකෝ
591,තොපි
592,පොන්න
593,වහල්
594,පොන්නයා
595,අවජාතක
596,සක්කිලි
597,තොපිට
598,තොපිට
599,සක්කිලි
600,උට්ටො
601,කන්න
602,සිගේ
603,පකෝ
604,ගල්
605,මුසලයා
606,මැරියන්
607,තෝ
608,තන්
609,පවු
610,හරකා
611,වඳ
612,වේස
613,වේසියන්ට
614,පිස්සු
615,පිස්සා
616,පිස්සු
617,රෙද්ද
618,තොට
619,අකුලෝලම
620,පලයන්
621,කුහක
622,සක්කිලි
623,උලතියන්න
624,හුත්තිගෙ
625,පුතාලා
626,ගොං
627,හරකා
628,යකො
629,වේසිගෙ
630,පුක
631,පුක
632,බඩුව
633,ගොන්
634,හරක්
635,තඩි
636,නෙදකින්
637,අප්පිරියයි
638,පර
639,බල්ලා
640,තෝ
641,පඩ
642,පඩ
643,පඩ
644,පඩ
645,පඩ
646,පඩ
647,පඩ
648,පඩ
649,පඩ
650,පඩ
651,පඩ
652,පඩ
653,පඩ
654,පඩ
655,පඩ
656,හුත්ත
657,බල්ලා
658,පු
659,සක්කිලි
660,බල්ලො
661,පර
662,හැත්ත
663,පලයන්
664,බං
665,ගොන්
666,හැත්ත
667,පයිය
668,නොදකින්
669,මෝඩ
670,අඳබාලයෝ
671,කල්ලතොනි
672,තොපි
673,හුජ්ජ
674,කොල්ලො
675,වේසියේ
676,හැමිනෙන්න
677,අවජාතක
678,වේසියොත්
679,පුකේ
680,ඇරලා
681,ගූ
682,කැරි
683,පඳුරු
684,බැල්ලි
685,පාහරයව
686,කාලකණ්නි
687,කුණුහරප
688,තෝ
689,තොට
690,පුක
691,රෙද්ද
692,පිස්සා
693,පිස්සා
694,පක
695,පූම්බා
696,ලබ්බ
697,පලයං
698,තොට
699,හැත්තට
700,පුක
701,හාල්පාරුවො
702,හාල්පාරුවෙක්
703,පිස්සො
704,යකෝ
705,තෝ
706,කියාපිය
707,ලබ්බක්ද
708,නපුංසක
709,පර
710,හැත්ත
711,හුකනවා
712,හුත්තෝ
713,පකෝ
714,හුත්තො
715,බිජ්ජ
716,පරයො
717,සක්කිලි
718,බල්ලන්ට
719,සාප
720,වේවා
721,අවදානවැස්සියෙක්
722,අවජාතක
723,නොදකින්
724,පෙරේතයා
725,මරිමෝඩ
726,ගොං
727,හැත්ත
728,මැට්ටෝ
729,කාපන්
730,කාලකන්නින්ට
731,ගොබ්බයෝ
732,තොගෙ
733,ලබ්බෙ
734,තොගෙ
735,මී
736,හරකා
737,කාලකණ්නි
738,බල්ලා
739,ගං
740,කබරයෝ
741,තමුසෙලයි
742,තමුසෙලගෙ
743,කාලලන්නි
744,හොරු
745,බඩුව
746,ගොනා
747,බොක
748,හුජ්ජ
749,යන්නෙ
750,තෝ
751,පරයා
752,හැතිකරේ
753,බිජ්ජක්
754,පුකක්
755,පකෝ
756,පුක
757,මෝඩයො
758,බඩ්ඩම
759,බඩු
760,පිස්සු
761,හුයන්නෝ
762,ගොන්
763,නොදකින්
764,මාලු
765,වේසි
766,බිජ්ජ
767,හැලුනොත්
768,අවජතකයන්ටත්
769,අවජාතක
770,කුඩු
771,පොන්නයෙක්
772,ඕයි
773,උබලා
774,බඩුව
775,ඕයි
776,කැරි
777,පොන්න
778,හුත්තෝ
779,කැරි
780,පොන්නයන්ට
781,කැරියෙක්
782,පොන්නයා
783,පට්ට
784,වේසි
785,ලබ්බ
786,නාකි
787,හුචක්කු
788,ගොබ්බ
789,ගොන්නූ
790,හුකේ
791,නන්නානේ
792,රෙද්ද
793,නොදෝකින්
794,ගෝත
795,පකෝ
796,බූරුවා
797,තොපි
798,පොට්ටයෝ
799,පුක
800,බැල්ලි
801,ගොන්බයියො
802,මුගේ
803,අප්පට
804,උඹ
805,පල
806,උඹ
807,පර
808,හැත්ත
809,මැරිය
810,හුජ්ජ
811,සාප
812,හුජ්ජ
813,තෝ
814,පුක
815,අඩෝ
816,තෝ
817,අවජාතක
818,බල්ලන්
819,රෙන
820,ගොබිලො
821,රෙද්දෙ
822,ගස්
823,ගොබිලොද
824,හිපාටුව
825,යකෝ
826,හිකීම
827,පයියක්
828,කිම්බක්
829,පක
830,පොන්නයා
831,පොන්නයෙක්ම
832,යකෝ
833,යකෝ
834,තෝ
835,මොඩ
836,මුසලයෙක්
837,තෝ
838,තට්ට
839,හොරුන්ට
840,බූරුවෝ
841,තමුසෙ
842,ගෑණි
843,හරක්
844,තඩි
845,තන්
846,දෙක
847,කිම්බ
848,හුත්තී
849,ඩේසිය
850,කාලකණ්ණි
851,ගොන්
852,නාම්බෝ
853,බල්ලා
854,ගොං
855,හැත්ත
856,පකීර්ල
857,රෙන්න
858,පුක
859,පකේ
860,බං
861,රෙන්ඩ
862,පුක
863,චීත්ත
864,පකය
865,හුකන්නෙ
866,නොහුකම
867,අනේ
868,නොදකින්
869,පිම්පියො
870,අහිකුණ්ටිකයො
871,හුකන
872,හුයන්න
873,හුයන්නක්
874,පක
875,පුක
876,පොන්නයෙක්
877,තොට
878,හරකෝ
879,බූරුවට
880,යකෝ
881,ගොබ්බයා
882,කටුස්සි
883,උබ
884,ගොන්
885,මෝඩ
886,ගොබ්බ
887,හරක්
888,මී
889,හරක්
890,වහු
891,පෙරේත
892,කුම්බාන්ඩ
893,මීමැසි
894,ගොයන්
895,මැසි
896,නිල
897,මැසි
898,බලු
899,සුනක
900,අගමැතියා
901,තොපි
902,නිවට
903,නියාලු
904,බූරූ
905,මොංගලයොම
906,කුහක
907,හැත්ත
908,හුජ්ජ
909,කොල්ලා
910,ගොන්
911,බිජ්ජො
912,ගොන්
913,කාලකණ්ණි
914,ගොන්
915,හරකෙක්
916,පුකේ
917,යකෝ
918,යකෝ
919,තොට
920,ලබ්බවල්
921,හැමිනෙනවානේ
922,පකෝ
923,ටවුකන්න
924,හුකාපන්
925,හුත්තෝ
926,වේස
927,කාලකන්නි
928,බඩුව
929,හුත්තො
930,ගොංවස්සො
931,පකෝ
932,බඩු
933,සක්කිලි
934,පුක
935,දිදී
936,තූ
937,නොදකින්
938,තොගෙ
939,කට
940,හුජ්ජ
941,කොල්ල
942,ගොන්නුන්ගේ
943,පුක
944,නාකි
945,පකෝ
946,බැත්
947,බලයෙක්
948,නපුංසක
949,පස්ස
950,පලයන්
951,පුක
952,බූරුවාගේ
953,බූරු
954,ගොන්
955,හරක්
956,පකෝ
957,තෝ
958,අවජාතක
959,බල්ලා
960,ගොං
961,බල්ලා
962,බයියන්ගෙයි
963,ටොයියන්ගෙයි
964,හුත්තිගේ
965,හැමිණෙන්න
966,පක්කාලි
967,පොන්න
968,වේසිගේ
969,යකෝ
970,තොපිට
971,හෙන
972,ගහයි
973,වහල්
974,හැතිකරෙ
975,හුකෙ
976,උත්තො
977,තුප්පහි
978,ජඩ
979,තුච්ඡ
980,පුක
981,ඌටත්
982,පුක
983,දෙන
984,පොන්න
985,හැත්ත
986,කොනකපා
987,ශුකාණු
988,අවජාතක
989,හැත්ත
990,තොපි
991,පුක
992,ඉරාගෙන
993,හරක්
994,යකෝ
995,නෙදකින්
996,වේසාවා
997,තොපි
998,තොපි
999,මිනිහෝ
1000,මිනිහෝ
1001,නොදකින්
1002,තොට
1003,ගැණියෙ
1004,තෝ
1005,තොපිට
1006,ත්ත
1007,තෝ
1008,නොදකින්
1009,මුසලයා
1010,චික්
1011,කැතේ
1012,තොපේ
1013,අමිමලාට
1014,තොට
1015,කන
1016,පැලෙන්න
1017,කාලකණ්ණි
1018,මුන්ට
1019,කාලකණ්ණි
1020,හැතිකරේ
1021,පඩ
1022,ගඳයි
1023,අඩෙ
1024,අවජාතක
1025,පුතා
1026,පකෝ
1027,තොට
1028,අවජාතක
1029,පල
1030,පලයන්
1031,හෙන
1032,හත
1033,අසූචි
1034,කාලකණ්ණි
1035,අවජාතක
1036,හැත්ත
1037,කාලකණ්ණි
1038,බඩුව
1039,බඩුවක්
1040,බඩුවගේම
1041,බල්ලො
1042,තෝ
1043,තොට
1044,හුත්තෝ
1045,තොට
1046,යකෝ
1047,තූ
1048,හුජ්ජ
1049,කොල්ලා
1050,වේස
1051,ගෑණි
1052,මොඩයෙක්
1053,වේස
1054,බැල්ලියොන්ගෙ
1055,පල
1056,වේස
1057,බඩුව
1058,සාප
1059,කාලාකන්නි
1060,හරකා
1061,පොන්න
1062,බිජ්ජ
1063,අවජාතක
1064,හුජ්ජ
1065,කොල්ලා
1066,තමුසෙ
1067,තමුසෙට
1068,තමුසෙ
1069,තමුසෙට
1070,තමුසෙ
1071,ගොනා
1072,රෙද්ද
1073,ගෙම්බියො
1074,සක්කිලි
1075,ලබ්බ
1076,චුත
1077,පුක
1078,පොන්න
1079,පොන්න
1080,වල්
1081,පරයා
1082,පුක
1083,පුක
1084,රොම්බ
1085,ගොන්
1086,පර
1087,බල්ලො
1088,තො
1089,යකෝ
1090,රෙද්ද
1091,උස්සන්
1092,පොන්නයෝ
1093,පොන්න
1094,තොපි
1095,ගොබ්බයෝ
1096,තොපි
1097,අවජාතක
1098,හැත්ත
1099,බිජ්ජ
1100,ලබ්බ
1101,ගොබ්බයන්ට
1102,තොපි
1103,තමුසෙ
1104,පිස්සා
1105,පුක
1106,පලයන්
1107,තෝ
1108,තෝ
1109,තෝ
1110,මැරිය
1111,බැල්ලි
1112,පලයම්
1113,තොට
1114,බෙබා
1115,ඌ
1116,හරකෙක්
1117,ඌව
1118,තෝ
1119,පුකෙත්
1120,හුත්ත
1121,බිජ්ජ
1122,ලබ්බ
1123,මිරිකන්න
1124,ගොන්
1125,තඩියෙක්
1126,හරකා
1127,කැහුටු
1128,බැල්ලියක්
1129,නාකි
1130,හීරලුවෙක්
1131,පුක
1132,පර
1133,බල්ලෝ
1134,බල්ලෝ
1135,අයිසෙ
1136,මොංගල්
1137,මොංගල්
1138,බිජ්ජ
1139,පොංනයෙක්
1140,රෙද්ද
1141,පල්ලෙන්
1142,බේරෙනවා
1143,අවජාතක
1144,පිම්පි
1145,බඩුවකගේ්
1146,ලබ්බ
1147,නොට්ටිගේ
1148,නොට්ටිගේ
1149,නොදකින්
1150,ලබිබටම
1151,හුජ්ජ
1152,ගූ
1153,බඩුව
1154,බඩුව
1155,තම්බි
1156,චූ
1157,බිජ්ජ
1158,අහවල්
1159,එක
1160,පර
1161,හැත්ත
1162,අවජාතික
1163,සක්කිලි
1164,හැත්ත
1165,තෝ
1166,තෝ
1167,කෙල
1168,තොල්ලා
1169,යකෝ
1170,බඩු
1171,කාරයා
1172,ගෝතයා
1173,පොන්න
1174,නාකියෝ
1175,කුණුවෙලා
1176,මැරෙනවා
1177,තප්පුලනවා
1178,අඩෝ
1179,පොන්නයා
1180,තෝ
1181,පල
1182,දැන්
1183,ගස්
1184,නරිය
1185,කිම්බ
1186,පකේ
1187,තොපි
1188,හුජ්ජ
1189,වේස
1190,පුකේ
1191,ඇරගන්න
1192,පුකේ
1193,ඇරලදෙනවා
1194,පුකේ
1195,ඇරගන්න
1196,මෝඩ
1197,බයියෙක්
1198,තම්බියෙක්
1199,ගොන්
1200,සක්කිලි
1201,හාල්පාරු
1202,මීහරක්
1203,සක්කිලි
1204,තොපිලවගේ
1205,සක්කිලි
1206,මැරිලයන්නඔ්න
1207,හැතිකරේ
1208,තොට
1209,ගොං
1210,වස්සියෙ
1211,පල
1212,පොන්න
1213,වේසිගේ
1214,පුතා
1215,තුප්පැහි
1216,තෝ
1217,සක්කිලි
1218,බල්ලා
1219,පකෝ
1220,තෝ
1221,ගොන්ජා
1222,බිජ්ජ
1223,පකෝ
1224,සක්කිලියා
1225,සමනලයා
1226,වල්
1227,ඌරා
1228,හරකා
1229,හරකා
1230,සක්කිලි
1231,අවජාතක
1232,වේ
1233,ලබ්බ
1234,උත්ටෝ
1235,හිරිකිතයි
1236,හුකන
1237,යකෝ
1238,මෝඩ
1239,කියපන්
1240,බැල්ලි
1241,පොන්න
1242,පකෙක්
1243,තො
1244,සම
1245,හරක්
1246,ප
1247,තූ
1248,නොදකින්
1249,වල්
1250,පරයා
1251,තොපි
1252,හැඳි
1253,ගෑවිලා
1254,පලයන්
1255,මීහරකුන්
1256,හොරෙක්
1257,පිංගුත්තරයෝ
1258,සාප
1259,ගස්බල්ලෝ
1260,නොදකින්
1261,දාර
1262,පොන්නයෙක්
1263,බල්ලෙක්ට
1264,ජාතක
1265,වෙච්ච
1266,පරයෙක්
1267,පකෝ
1268,හුත්ත
1269,වේසියෙක්
1270,රෙන
1271,පුක
1272,පොන්න
1273,පකෝ
1274,අලිපුකෙන්
1275,පක්
1276,ටවුකන්න
1277,හුජ්ජ
1278,මෝඩ
1279,හරක්
1280,හුජ්ජ
1281,ලබ්බ
1282,පකයෝ
1283,පකයන්ට
1284,පකෝ
1285,වේසිගෙ
1286,නොදකින්
1287,උබ
1288,තො
1289,තොට
1290,නාකි
1291,ලොක්කෙක්
1292,ඕකුන්
1293,රෙද්ද
1294,අස්සෙ
1295,සාප
1296,පොන්න
1297,වේසිගේ
1298,ඇට
1299,නොදකින්
